"","Date","Value"
"98334081",2017-08-27 08:53:16.289,22
"98334091",2017-08-27 08:53:16.295,23
"98334101",2017-08-27 08:53:16.299,25
"98334111",2017-08-27 08:53:16.305,27
"98334121",2017-08-27 08:53:16.309,27
"98334131",2017-08-27 08:53:16.315,26
"98334141",2017-08-27 08:53:16.319,25
"98334151",2017-08-27 08:53:16.325,26
"98334161",2017-08-27 08:53:16.329,24
"98334171",2017-08-27 08:53:16.335,21
"98334181",2017-08-27 08:53:16.339,16
"98334191",2017-08-27 08:53:16.345,10
"98334201",2017-08-27 08:53:16.349,5
"98334211",2017-08-27 08:53:16.355,0
"98334221",2017-08-27 08:53:16.359,-4
"98334231",2017-08-27 08:53:16.365,-8
"98334241",2017-08-27 08:53:16.369,-12
"98334251",2017-08-27 08:53:16.375,-15
"98334261",2017-08-27 08:53:16.380,-17
"98334271",2017-08-27 08:53:16.384,-18
"98334281",2017-08-27 08:53:16.390,-19
"98334291",2017-08-27 08:53:16.394,-19
"98334301",2017-08-27 08:53:16.400,-19
"98334311",2017-08-27 08:53:16.404,-19
"98334321",2017-08-27 08:53:16.410,-20
"98334331",2017-08-27 08:53:16.414,-20
"98334341",2017-08-27 08:53:16.420,-20
"98334351",2017-08-27 08:53:16.424,-20
"98334361",2017-08-27 08:53:16.430,-20
"98334371",2017-08-27 08:53:16.434,-18
"98334381",2017-08-27 08:53:16.440,-16
"98334391",2017-08-27 08:53:16.444,-17
"98334401",2017-08-27 08:53:16.450,-19
"98334411",2017-08-27 08:53:16.454,-20
"98334421",2017-08-27 08:53:16.460,-19
"98334431",2017-08-27 08:53:16.464,-18
"98334441",2017-08-27 08:53:16.470,-16
"98334451",2017-08-27 08:53:16.474,-16
"98334461",2017-08-27 08:53:16.480,-18
"98334471",2017-08-27 08:53:16.484,-17
"98334481",2017-08-27 08:53:16.490,-16
"98334491",2017-08-27 08:53:16.494,-15
"98334501",2017-08-27 08:53:16.500,-14
"98334511",2017-08-27 08:53:16.505,-15
"98334521",2017-08-27 08:53:16.509,-14
"98334531",2017-08-27 08:53:16.515,-13
"98334541",2017-08-27 08:53:16.519,-15
"98334551",2017-08-27 08:53:16.525,-18
"98334561",2017-08-27 08:53:16.529,-17
"98334571",2017-08-27 08:53:16.535,-13
"98334581",2017-08-27 08:53:16.539,-14
"98334591",2017-08-27 08:53:16.545,-15
"98334601",2017-08-27 08:53:16.549,-15
"98334611",2017-08-27 08:53:16.555,-13
"98334621",2017-08-27 08:53:16.559,-12
"98334631",2017-08-27 08:53:16.565,-11
"98334641",2017-08-27 08:53:16.569,-12
"98334651",2017-08-27 08:53:16.575,-13
"98334661",2017-08-27 08:53:16.579,-15
"98334671",2017-08-27 08:53:16.585,-16
"98334681",2017-08-27 08:53:16.589,-13
"98334691",2017-08-27 08:53:16.595,-10
"98334701",2017-08-27 08:53:16.599,-13
"98334711",2017-08-27 08:53:16.605,-15
"98334721",2017-08-27 08:53:16.609,-14
"98334731",2017-08-27 08:53:16.615,-14
